vg	V(n001)	V(n002)	I(Vdd)	I(Vg)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vdd=0  (Step: 1/11)
9.000000000000000e+00	7.000000e+00	9.000000e+00	-7.700000e-04	0.000000e+00	-7.010000e-12	7.700000e-04	0.000000e+00	-7.700000e-04
1.000000000000000e+01	7.000000e+00	1.000000e+01	-9.100000e-04	0.000000e+00	-7.010000e-12	9.100000e-04	0.000000e+00	-9.100000e-04
Step Information: Vdd=8  (Step: 9/11)
0.000000000000000e+00	8.000000e+00	0.000000e+00	-1.601000e-11	0.000000e+00	-8.010000e-12	1.601000e-11	0.000000e+00	-8.000000e-12
1.000000000000000e+00	8.000000e+00	1.000000e+00	-1.000002e-05	0.000000e+00	-8.010000e-12	1.000002e-05	0.000000e+00	-1.000001e-05
2.000000000000000e+00	8.000000e+00	2.000000e+00	-4.000002e-05	0.000000e+00	-8.010000e-12	4.000002e-05	0.000000e+00	-4.000001e-05
3.000000000000000e+00	8.000000e+00	3.000000e+00	-9.000002e-05	0.000000e+00	-8.010000e-12	9.000002e-05	0.000000e+00	-9.000001e-05
4.000000000000000e+00	8.000000e+00	4.000000e+00	-1.600000e-04	0.000000e+00	-8.010000e-12	1.600000e-04	0.000000e+00	-1.600000e-04
5.000000000000000e+00	8.000000e+00	5.000000e+00	-2.500000e-04	0.000000e+00	-8.010000e-12	2.500000e-04	0.000000e+00	-2.500000e-04
6.000000000000000e+00	8.000000e+00	6.000000e+00	-3.600000e-04	0.000000e+00	-8.010000e-12	3.600000e-04	0.000000e+00	-3.600000e-04
7.000000000000000e+00	8.000000e+00	7.000000e+00	-4.900000e-04	0.000000e+00	-8.010000e-12	4.900000e-04	0.000000e+00	-4.900000e-04
8.000000000000000e+00	8.000000e+00	8.000000e+00	-6.400000e-04	0.000000e+00	-8.010000e-12	6.400000e-04	0.000000e+00	-6.400000e-04
9.000000000000000e+00	8.000000e+00	9.000000e+00	-8.000000e-04	0.000000e+00	-8.010000e-12	8.000000e-04	0.000000e+00	-8.000000e-04
1.000000000000000e+01	8.000000e+00	1.000000e+01	-9.600000e-04	0.000000e+00	-8.010000e-12	9.600000e-04	0.000000e+00	-9.600000e-04
Step Information: Vdd=9  (Step: 10/11)
